t1time,t1concentration,t1saturation,t1temp,t2time,t2concentration,t2saturation,t2temp,t3time,t3concentration,t3saturation,t3temp,t4time,t4concentration,t4saturation,t4temp,t5time,t5concentration,t5saturation,t5temp,t6time,t6concentration,t6saturation,t6temp,t7time,t7concentration,t7saturation,t7temp
914,3.18,36.5,22.4,1010,4.12,47.3,22.4,812,3.95,45.4,22.5,974,2.03,23.2,22.1,354,8.32,95.2,22.2,,,,,720,3.9,44.8,22.3
916,3.22,37,22.4,1012,4.15,47.7,22.4,814,4,46,22.5,975,2.06,23.5,22.1,356,8.35,95.5,22.2,,,,,722,3.94,45.2,22.3
918,3.25,37.3,22.4,1014,4.19,48.2,22.4,816,4.06,46.7,22.5,976,2.08,23.8,22.1,358,8.34,95.5,22.2,,,,,724,3.99,45.7,22.3
920,3.28,37.7,22.4,1016,4.25,48.8,22.4,818,4.12,47.3,22.4,977,2.11,24.1,22.1,360,8.33,95.3,22.2,,,,,726,4.03,46.3,22.3
922,3.31,38,22.4,1018,4.3,49.4,22.4,820,4.17,47.9,22.4,978,2.13,24.3,22.1,362,8.29,94.9,22.2,,,,,728,4.08,46.8,22.3
924,3.34,38.4,22.4,1020,4.35,50,22.4,822,4.22,48.5,22.4,979,2.16,24.6,22.1,364,8.27,94.6,22.2,,,,,730,4.13,47.3,22.3
926,3.38,38.8,22.4,1022,4.4,50.6,22.4,824,4.27,49.1,22.5,980,2.19,24.9,22.1,366,8.26,94.5,22.2,,,,,732,4.17,47.8,22.3
928,3.41,39.2,22.4,1024,4.44,51,22.4,826,4.32,49.6,22.4,981,2.21,25.3,22,368,8.26,94.5,22.2,,,,,734,4.21,48.4,22.3
930,3.44,39.5,22.4,1026,4.47,51.4,22.4,828,4.36,50.1,22.5,982,2.24,25.6,22,370,8.26,94.5,22.2,,,,,736,4.27,49,22.3
932,3.46,39.7,22.4,1028,4.5,51.7,22.4,830,4.41,50.7,22.4,983,2.27,25.9,22,372,8.28,94.8,22.2,,,,,738,4.32,49.5,22.3
934,3.48,40,22.4,1030,4.53,52,22.4,832,4.45,51.2,22.5,984,2.29,26.2,22,374,8.31,95.1,22.2,,,,,740,4.36,50,22.3
936,3.51,40.3,22.4,1032,4.56,52.4,22.4,834,4.49,51.6,22.4,985,2.32,26.4,22,376,8.33,95.4,22.2,,,,,742,4.4,50.5,22.3
938,3.56,40.9,22.4,1034,4.59,52.7,22.4,836,4.52,52,22.5,986,2.34,26.7,22,378,8.33,95.3,22.2,,,,,744,4.45,51,22.3
940,3.61,41.4,22.4,1036,4.62,53.1,22.4,838,4.56,52.5,22.4,987,2.36,27,22.1,380,8.31,95.1,22.2,,,,,746,4.49,51.5,22.3
942,3.66,42,22.4,1038,4.65,53.4,22.4,840,4.62,53.1,22.5,988,2.39,27.3,22.1,382,8.31,95.1,22.2,,,,,748,4.54,52.1,22.3
944,3.7,42.4,22.4,1040,4.68,53.8,22.4,842,4.67,53.7,22.4,989,2.42,27.6,22,384,8.32,95.2,22.2,,,,,750,4.59,52.6,22.3
946,3.74,42.9,22.4,1042,4.73,54.3,22.4,844,4.73,54.4,22.4,990,2.44,27.9,22,386,8.33,95.3,22.2,,,,,752,4.63,53.1,22.3
948,3.77,43.3,22.4,1044,4.77,54.8,22.4,846,4.78,54.9,22.4,991,2.47,28.2,22,388,8.35,95.5,22.2,,,,,754,4.67,53.6,22.3
950,3.81,43.8,22.4,1046,4.8,55.2,22.4,848,4.83,55.6,22.4,992,2.5,28.5,22,390,8.38,95.9,22.2,,,,,756,4.71,54.1,22.3
952,3.85,44.2,22.4,1048,4.83,55.6,22.4,850,4.89,56.2,22.4,993,2.52,28.8,22.1,392,8.41,96.2,22.2,,,,,758,4.75,54.5,22.3
954,3.89,44.7,22.4,1050,4.88,56.1,22.4,852,4.93,56.7,22.4,994,2.55,29.1,22.1,394,8.45,96.7,22.2,,,,,760,4.78,54.9,22.3
956,3.93,45.2,22.4,1052,4.93,56.7,22.4,854,4.96,57.1,22.4,995,2.57,29.4,22.1,396,8.48,97.1,22.2,,,,,762,4.82,55.3,22.3
958,3.97,45.6,22.4,1054,4.99,57.3,22.4,856,5,57.5,22.4,996,2.6,29.7,22.1,,,,,,,,,764,4.86,55.8,22.3
960,4,45.9,22.4,1056,5.03,57.8,22.4,858,5.04,58,22.5,997,2.63,30,22,,,,,,,,,766,4.9,56.2,22.3
962,4.03,46.3,22.4,1058,5.08,58.4,22.4,860,5.08,58.4,22.5,998,2.65,30.3,22,,,,,,,,,768,4.93,56.6,22.3
964,4.05,46.5,22.4,1060,5.14,59,22.4,862,5.11,58.8,22.5,999,2.68,30.6,22,,,,,,,,,770,4.96,57,22.3
966,4.07,46.7,22.4,1062,5.19,59.6,22.4,864,5.16,59.3,22.5,1000,2.71,30.9,22,,,,,,,,,772,4.99,57.3,22.3
968,4.09,47,22.4,1064,5.21,59.9,22.4,866,5.2,59.8,22.5,1001,2.74,31.3,22,,,,,,,,,774,5.03,57.7,22.3
970,4.12,47.3,22.4,1066,5.23,60.1,22.4,868,5.21,59.9,22.5,1002,2.77,31.7,22.1,,,,,,,,,776,5.06,58,22.3
972,4.14,47.5,22.4,1068,5.26,60.5,22.4,870,5.21,59.9,22.5,1003,2.81,32,22.1,,,,,,,,,778,5.09,58.4,22.3
974,4.17,47.8,22.4,1070,5.3,60.9,22.4,872,5.22,60,22.5,1004,2.84,32.4,22.1,,,,,,,,,780,5.11,58.7,22.3
976,4.19,48.1,22.4,1072,5.33,61.3,22.4,874,5.26,60.4,22.5,1005,2.87,32.7,22.1,,,,,,,,,782,5.15,59,22.3
978,4.22,48.5,22.4,1074,5.37,61.7,22.4,876,5.31,61.1,22.5,1006,2.9,33.1,22.1,,,,,,,,,784,5.18,59.4,22.3
980,4.26,48.9,22.4,1076,5.41,62.2,22.4,878,5.36,61.7,22.4,1007,2.92,33.4,22.1,,,,,,,,,786,5.22,59.9,22.3
982,4.29,49.3,22.4,1078,5.45,62.6,22.4,880,5.4,62.1,22.5,1008,2.95,33.6,22.1,,,,,,,,,788,5.25,60.3,22.3
984,4.32,49.6,22.4,1080,5.48,63,22.4,882,5.42,62.3,22.4,1009,2.97,33.9,22.1,,,,,,,,,790,5.29,60.7,22.3
986,4.34,49.9,22.4,1082,5.51,63.3,22.4,884,5.45,62.7,22.4,1010,2.99,34.2,22.1,,,,,,,,,792,5.32,61.1,22.3
988,4.37,50.2,22.4,1084,5.53,63.6,22.4,886,5.5,63.3,22.4,1011,3.02,34.4,22.1,,,,,,,,,794,5.36,61.5,22.3
990,4.4,50.5,22.4,1086,5.56,63.9,22.4,888,5.56,64,22.4,1012,3.04,34.7,22.1,,,,,,,,,796,5.4,61.9,22.3
992,4.43,50.8,22.4,1088,5.59,64.2,22.4,890,5.62,64.6,22.5,1013,3.06,34.9,22.1,,,,,,,,,798,5.43,62.3,22.3
994,4.46,51.2,22.4,1090,5.62,64.6,22.4,892,5.64,64.9,22.5,1014,3.08,35.2,22.1,,,,,,,,,800,5.47,62.8,22.3
996,4.49,51.6,22.4,1092,5.66,65.1,22.4,894,5.65,64.9,22.5,1015,3.11,35.5,22.1,,,,,,,,,802,5.52,63.3,22.3
998,4.53,52,22.4,1094,5.7,65.5,22.4,896,5.66,65.1,22.4,1016,3.14,35.8,22.1,,,,,,,,,804,5.55,63.7,22.3
1000,4.56,52.4,22.4,1096,5.72,65.7,22.4,898,5.7,65.6,22.4,1017,3.17,36.1,22.1,,,,,,,,,806,5.58,64,22.3
1002,4.6,52.8,22.4,1098,5.72,65.8,22.4,900,5.74,66,22.4,1018,3.2,36.5,22.1,,,,,,,,,808,5.61,64.3,22.3
1004,4.63,53.2,22.4,1100,5.74,65.9,22.4,902,5.76,66.3,22.4,1019,3.22,36.8,22,,,,,,,,,810,5.65,64.8,22.3
1006,4.66,53.5,22.4,1102,5.75,66.1,22.4,904,5.79,66.6,22.4,1020,3.25,37.1,22,,,,,,,,,812,5.69,65.3,22.3
1008,4.68,53.8,22.4,1104,5.77,66.3,22.4,906,5.84,67.1,22.4,1021,3.27,37.3,22,,,,,,,,,814,5.73,65.8,22.3
1010,4.71,54.1,22.4,1106,5.79,66.5,22.4,908,5.89,67.7,22.4,1022,3.29,37.5,22,,,,,,,,,816,5.76,66.1,22.3
1012,4.75,54.5,22.4,1108,5.81,66.8,22.4,910,5.93,68.2,22.4,1023,3.31,37.7,22,,,,,,,,,818,5.78,66.4,22.3
1014,4.79,55,22.4,1110,5.85,67.2,22.4,912,5.99,68.8,22.4,1024,3.33,38,22.1,,,,,,,,,820,5.81,66.7,22.3
1016,4.82,55.3,22.4,1112,5.87,67.4,22.4,914,6.03,69.4,22.4,1025,3.35,38.3,22,,,,,,,,,822,5.83,67,22.3
1018,4.84,55.6,22.4,1114,5.89,67.7,22.4,916,6.06,69.7,22.4,1026,3.38,38.5,22.1,,,,,,,,,824,5.86,67.3,22.3
1020,4.85,55.7,22.4,1116,5.94,68.2,22.4,918,6.08,70,22.4,1027,3.4,38.8,22.1,,,,,,,,,826,5.9,67.7,22.3
1022,4.87,55.9,22.4,1118,5.99,68.8,22.4,920,6.11,70.3,22.4,1028,3.43,39.1,22.1,,,,,,,,,828,5.94,68.1,22.3
1024,4.89,56.2,22.4,1120,6.03,69.3,22.4,922,6.14,70.7,22.4,1029,3.45,39.4,22.1,,,,,,,,,830,5.97,68.5,22.3
1026,4.91,56.4,22.4,1122,6.06,69.6,22.4,924,6.17,71,22.5,1030,3.48,39.7,22.1,,,,,,,,,832,6,68.8,22.3
1028,4.94,56.7,22.4,1124,6.09,70,22.4,926,6.19,71.2,22.5,1031,3.51,40,22.1,,,,,,,,,834,6.01,69,22.3
1030,4.97,57,22.4,1126,6.14,70.5,22.4,928,6.21,71.4,22.4,1032,3.54,40.4,22,,,,,,,,,836,6.03,69.2,22.3
1032,5,57.4,22.4,1128,6.18,71,22.4,930,6.22,71.5,22.4,1033,3.57,40.7,22,,,,,,,,,838,6.05,69.4,22.3
1034,5.02,57.7,22.4,1130,6.22,71.5,22.4,932,6.21,71.5,22.4,1034,3.59,41,22,,,,,,,,,840,6.07,69.7,22.3
1036,5.05,58,22.4,1132,6.26,71.9,22.4,934,6.22,71.5,22.5,1035,3.62,41.3,22.1,,,,,,,,,842,6.1,70,22.3
1038,5.09,58.5,22.4,1134,6.28,72.2,22.4,936,6.23,71.7,22.4,1036,3.65,41.6,22,,,,,,,,,844,6.11,70.2,22.3
1040,5.13,58.9,22.4,1136,6.3,72.3,22.4,938,6.25,71.8,22.4,1037,3.67,41.9,22.1,,,,,,,,,846,6.13,70.4,22.3
1042,5.17,59.3,22.4,1138,6.3,72.4,22.4,940,6.26,72,22.4,1038,3.69,42.1,22.1,,,,,,,,,848,6.15,70.6,22.3
1044,5.19,59.6,22.4,1140,6.32,72.6,22.4,942,6.27,72.1,22.4,1039,3.71,42.4,22.1,,,,,,,,,850,6.18,70.9,22.3
1046,5.21,59.9,22.4,1142,6.34,72.9,22.4,944,6.29,72.3,22.4,1040,3.74,42.7,22.1,,,,,,,,,852,6.21,71.2,22.3
1048,5.22,60,22.4,1144,6.38,73.3,22.4,946,6.32,72.7,22.4,1041,3.77,43,22.1,,,,,,,,,854,6.24,71.6,22.3
